"","DecFishingHr_sqrt","Month","response","se.fit"
"1",0.574456264653803,"April",7.50562469307806,3.72088000788138
"2",0.574456264653803,"August",2.35158384320463e+45,3.95524570769247e+53
"3",0.574456264653803,"July",19.2016471080122,14.4482720853201
"4",0.574456264653803,"March",18.8657554361457,81.7526294769909
"5",0.574456264653803,"October",4995691870652945408,9.30336929123e+19
"6",0.574456264653803,"September",24.3319856875822,19.41837803122
"7",1.4553513725789,"April",4.81042200896951,2.23325330104778
"8",1.4553513725789,"August",16078925124656867328,5.66542400470522e+26
"9",1.4553513725789,"July",7.62981750719861,4.12242902111141
"10",1.4553513725789,"March",18.8657554361458,52.5420446925843
"11",1.4553513725789,"October",5056157158174974976,95152163564522455040
"12",1.4553513725789,"September",29.7329970608306,18.4755707234223
"13",2.33624648050399,"April",3.23531170732159,1.4688062666597
"14",2.33624648050399,"August",1.09939449661985e-07,11.7944570658528
"15",2.33624648050399,"July",3.49563429986145,1.73231071666693
"16",2.33624648050399,"March",18.8657554361458,52.1848350272579
"17",2.33624648050399,"October",10130549620489611264,1.91400320648018e+20
"18",2.33624648050399,"September",25.8316954762479,15.6981132302095
"19",3.21714158842908,"April",2.30670193608,1.09129082373749
"20",3.21714158842908,"August",2.22044604925031e-16,5.50316025333619e-08
"21",3.21714158842908,"July",1.90277071042958,1.09314514839661
"22",3.21714158842908,"March",18.8657554361457,86.2187659432704
"23",3.21714158842908,"October",46392219085177069568,8.73012908326752e+20
"24",3.21714158842908,"September",14.8506355974029,10.8456509294628
