"","X","Depth_logxplusone","facYear","response","se.fit"
"1",1,0,"2015",0.957660660039906,0.36974638099322
"2",2,0,"2016",1.12170095413255,0.687707178633365
"3",3,0,"2020",21.8771061434771,15.2234820241504
"4",4,0,"2021",1.05122791454303,0.544671719519355
"5",5,0.759873728716513,"2015",1.26390313536567,0.383183631306129
"6",6,0.759873728716513,"2016",1.19442630592083,0.56287773003194
"7",7,0.759873728716513,"2020",23.1289122145413,13.7582247995077
"8",8,0.759873728716513,"2021",2.19957284131958,0.863379504925182
"9",9,1.51974745743303,"2015",1.65479342262132,0.394151172167245
"10",10,1.51974745743303,"2016",1.30175895429695,0.464198247590302
"11",11,1.51974745743303,"2020",24.4526436088282,12.3842456363946
"12",12,1.51974745743303,"2021",4.37200729726252,1.29046733155248
"13",13,2.27962118614954,"2015",2.13220757869296,0.42645307366996
"14",14,2.27962118614954,"2016",1.48620827475014,0.422783262724905
"15",15,2.27962118614954,"2020",25.8527639993867,11.3501462085815
"16",16,2.27962118614954,"2021",7.84197653690185,1.90511345228101
"17",17,3.03949491486605,"2015",2.68224677673593,0.504989244042192
"18",18,3.03949491486605,"2016",1.81926350362489,0.465715005612597
"19",19,3.03949491486605,"2020",27.3340493937265,11.0853495779361
"20",20,3.03949491486605,"2021",12.0579476881389,2.79723656345869
"21",21,3.79936864358257,"2015",3.26831828260111,0.619657079630878
"22",22,3.79936864358257,"2016",2.44307432673363,0.607603356552519
"23",23,3.79936864358257,"2020",28.9016079781975,12.0622719041277
"24",24,3.79936864358257,"2021",15.1082529015847,3.5109709544151
"25",25,4.55924237229908,"2015",3.85083361679569,0.757691718612835
"26",26,4.55924237229908,"2016",3.61731800204925,0.900382789046687
"27",27,4.55924237229908,"2020",30.5606239637146,14.3720656001866
"28",28,4.55924237229908,"2021",15.2553222907865,3.50447334961073
"29",29,5.31911610101559,"2015",4.42153538684024,0.967971934248564
"30",30,5.31911610101559,"2016",5.77318301409388,1.59780649914752
"31",31,5.31911610101559,"2020",32.3161389621825,17.7817134964415
"32",32,5.31911610101559,"2021",13.0503486846718,3.17539450326454
"33",33,6.07898982973211,"2015",4.99018617795156,1.31165129475647
"34",34,6.07898982973211,"2016",9.68641438894698,3.35596619335652
"35",35,6.07898982973211,"2020",34.173391027925,22.0852114031188
"36",36,6.07898982973211,"2021",9.99582325938165,2.94245363875735
"37",37,6.83886355844862,"2015",5.58371237764333,1.8124598041472
"38",38,6.83886355844862,"2016",16.6636565360568,7.45530631773022
"39",39,6.83886355844862,"2020",36.1378544710388,27.1768667650143
"40",40,6.83886355844862,"2021",7.24457451919076,2.74110838641048
